feature_code,date_code,measurement,units,value,scottish_health_survey_indicator,sex
S92000003,2010,Percent,Percent Of Adults,30,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2019,Percent,Percent Of Adults,36,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2014,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2008,Percent,Percent Of Adults,30,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2008,Percent,Percent Of Adults,31,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2012,Percent,Percent Of Adults,33,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2009,Percent,Percent Of Adults,30,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2019,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2011,Percent,Percent Of Adults,31,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2014,Percent,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2019,Percent,Percent Of Adults,36,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2015,Percent,Percent Of Adults,33,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2018,Percent,Percent Of Adults,36,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2012,Percent,Percent Of Adults,32,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2012,Percent,Percent Of Adults,32,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2015,Percent,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2017,Percent,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2010,Percent,Percent Of Adults,30,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2009,Percent,Percent Of Adults,31,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2016,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2008,Percent,Percent Of Adults,32,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2016,Percent,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2011,Percent,Percent Of Adults,30,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2011,Percent,Percent Of Adults,31,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2010,Percent,Percent Of Adults,30,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2009,Percent,Percent Of Adults,32,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2016,Percent,Percent Of Adults,32,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2014,Percent,Percent Of Adults,33,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2013,Percent,Percent Of Adults,32,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2013,Percent,Percent Of Adults,31,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2018,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2017,Percent,Percent Of Adults,33,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2017,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S92000003,2018,Percent,Percent Of Adults,34,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2013,Percent,Percent Of Adults,32,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All
S92000003,2015,Percent,Percent Of Adults,33,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male
S92000003,2015,Percent,Percent Of Adults,12,Summary activity levels: Some activity,All
S92000003,2013,Percent,Percent Of Adults,8,Summary activity levels: Some activity,Male
S92000003,2014,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female
S92000003,2013,Percent,Percent Of Adults,14,Summary activity levels: Some activity,Female
S92000003,2016,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All
S92000003,2017,Percent,Percent Of Adults,9,Summary activity levels: Some activity,Male
S92000003,2014,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All
S92000003,2016,Percent,Percent Of Adults,10,Summary activity levels: Some activity,Male
