area_code,year,scottish_health_survey_indicator,sex,percentage
S08000015,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,All,20
S08000015,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Female,20
S08000015,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Male,20
S08000015,2015-2018,Any cardiovascular condition: No cardiovascular condition,All,80
S08000015,2015-2018,Any cardiovascular condition: No cardiovascular condition,Female,80
S08000015,2015-2018,Any cardiovascular condition: No cardiovascular condition,Male,80
S08000015,2015-2018,Obesity: Not obese,All,67
S08000015,2015-2018,Obesity: Not obese,Female,64
S08000015,2015-2018,Obesity: Not obese,Male,70
S08000015,2015-2018,Obesity: Obese,All,33
S08000015,2015-2018,Obesity: Obese,Female,36
S08000015,2015-2018,Obesity: Obese,Male,30
S08000015,2015-2018,Overweight: Not overweight or obese,All,30
S08000015,2015-2018,Overweight: Not overweight or obese,Female,32
S08000015,2015-2018,Overweight: Not overweight or obese,Male,29
S08000015,2015-2018,Overweight: Overweight (including obese),All,70
S08000015,2015-2018,Overweight: Overweight (including obese),Female,68
S08000015,2015-2018,Overweight: Overweight (including obese),Male,71
S08000015,2015-2018,Summary activity levels: Low activity,All,3
S08000015,2015-2018,Summary activity levels: Low activity,Female,4
S08000015,2015-2018,Summary activity levels: Low activity,Male,3
S08000015,2015-2018,Summary activity levels: Meets recommendations,All,59
S08000015,2015-2018,Summary activity levels: Meets recommendations,Female,55
S08000015,2015-2018,Summary activity levels: Meets recommendations,Male,63
S08000015,2015-2018,Summary activity levels: Some activity,All,10
S08000015,2015-2018,Summary activity levels: Some activity,Female,12
S08000015,2015-2018,Summary activity levels: Some activity,Male,8
S08000015,2015-2018,Summary activity levels: Very low activity,All,28
S08000015,2015-2018,Summary activity levels: Very low activity,Female,30
S08000015,2015-2018,Summary activity levels: Very low activity,Male,26
S08000015,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,All,21
S08000015,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Female,20
S08000015,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Male,22
S08000015,2016-2019,Any cardiovascular condition: No cardiovascular condition,All,79
S08000015,2016-2019,Any cardiovascular condition: No cardiovascular condition,Female,80
S08000015,2016-2019,Any cardiovascular condition: No cardiovascular condition,Male,78
S08000015,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,39
